id,final_label
1.1/i,Pure Math / Basic Calculation
1.1/ii,Pure Math / Basic Calculation
1.1/iii#1,"Model-Based, Medium Difficulty"
1.1/iii#2,Pure Math / Basic Calculation
1.1/iii#3,Pure Math / Basic Calculation
1.10/i,"Model-Based, Medium Difficulty"
1.10/ii,"Model-Based, Medium Difficulty"
1.3/i#1,Pure Math / Basic Calculation
1.3/i#2,Pure Math / Basic Calculation
1.3/i#3,Pure Math / Basic Calculation
1.3/ii,Simple Math but Requires Economics Concepts
1.5/main,"Model-Based, Medium Difficulty"
1.6/i,"Model-Based, Medium Difficulty"
1.6/ii,"Model-Based, Medium Difficulty"
1.7/i,Advanced / Hardest Model Problems
1.7/ii,Advanced / Hardest Model Problems
1.8/ii,"Model-Based, Medium Difficulty"
1.8/iii,Simple Math but Requires Economics Concepts
1.8/iv,"Model-Based, Medium Difficulty"
1.9/i,Simple Math but Requires Economics Concepts
1.9/iii,"Model-Based, Medium Difficulty"
1/i,Simple Math but Requires Economics Concepts
1/ii,Simple Math but Requires Economics Concepts
10.1/main,"Model-Based, Medium Difficulty"
10.10/main,"Model-Based, Medium Difficulty"
10.2/1,"Model-Based, Medium Difficulty"
10.2/2#2,"Model-Based, Medium Difficulty"
10.5/1#1,Advanced / Hardest Model Problems
10.5/2#1,Advanced / Hardest Model Problems
10.6/2#1,Advanced / Hardest Model Problems
10.6/2#2,"Model-Based, Medium Difficulty"
10.7/main#1,"Model-Based, Medium Difficulty"
10.7/main#3,"Model-Based, Medium Difficulty"
10.8/1,"Model-Based, Medium Difficulty"
10.8/2,"Model-Based, Medium Difficulty"
10.8/4,"Model-Based, Medium Difficulty"
10.8/5,"Model-Based, Medium Difficulty"
10.9/main,"Model-Based, Medium Difficulty"
11.1/1,Pure Math / Basic Calculation
11.1/2,Pure Math / Basic Calculation
11.10/main#1,"Model-Based, Medium Difficulty"
11.10/main#2,Pure Math / Basic Calculation
11.11/1,Simple Math but Requires Economics Concepts
11.11/2,"Model-Based, Medium Difficulty"
11.12/1#1,Simple Math but Requires Economics Concepts
11.12/1#2,Simple Math but Requires Economics Concepts
11.12/2#1,Advanced / Hardest Model Problems
11.13/1,"Model-Based, Medium Difficulty"
11.14/1,"Model-Based, Medium Difficulty"
11.2/1,Pure Math / Basic Calculation
11.2/2,Pure Math / Basic Calculation
11.2/3,Pure Math / Basic Calculation
11.3/1,Simple Math but Requires Economics Concepts
11.3/2#1,"Model-Based, Medium Difficulty"
11.3/2#2,"Model-Based, Medium Difficulty"
11.4/main,"Model-Based, Medium Difficulty"
11.5/1,Simple Math but Requires Economics Concepts
11.5/2,Simple Math but Requires Economics Concepts
11.6/main#1,Advanced / Hardest Model Problems
11.6/main#2,Advanced / Hardest Model Problems
11.6/main#3,Simple Math but Requires Economics Concepts
11.7/main#2,"Model-Based, Medium Difficulty"
11.8/main,Advanced / Hardest Model Problems
11.9/1#1,Pure Math / Basic Calculation
11.9/1#2,Simple Math but Requires Economics Concepts
11.9/2#1,Pure Math / Basic Calculation
11.9/2#2,Simple Math but Requires Economics Concepts
2.4/main,Simple Math but Requires Economics Concepts
2.5/i,Simple Math but Requires Economics Concepts
2.5/ii#2,Simple Math but Requires Economics Concepts
2.5/iii,"Model-Based, Medium Difficulty"
2.5/iv#1,Simple Math but Requires Economics Concepts
2.5/iv#2,Simple Math but Requires Economics Concepts
2.5/v,Simple Math but Requires Economics Concepts
2.6/main#1,"Model-Based, Medium Difficulty"
2.8/main#1,Advanced / Hardest Model Problems
2.8/main#2,Simple Math but Requires Economics Concepts
2/i,"Model-Based, Medium Difficulty"
2/iii#2,"Model-Based, Medium Difficulty"
3.1/i,Simple Math but Requires Economics Concepts
3.10/main,Simple Math but Requires Economics Concepts
3.5/i,Simple Math but Requires Economics Concepts
3.6/main,Simple Math but Requires Economics Concepts
3.7/ii,Pure Math / Basic Calculation
3.8/i,"Model-Based, Medium Difficulty"
3.8/ii,"Model-Based, Medium Difficulty"
4.1/main,"Model-Based, Medium Difficulty"
4.2/i,Simple Math but Requires Economics Concepts
4.2/ii,Pure Math / Basic Calculation
4.2/iii,"Model-Based, Medium Difficulty"
4.2/iv#1,Simple Math but Requires Economics Concepts
4.5/i,"Model-Based, Medium Difficulty"
4.5/iii,Simple Math but Requires Economics Concepts
4.6/i,Simple Math but Requires Economics Concepts
4.6/ii,"Model-Based, Medium Difficulty"
5.2/main#1,"Model-Based, Medium Difficulty"
5.2/main#2,"Model-Based, Medium Difficulty"
5.3/i,Pure Math / Basic Calculation
5.3/iii,Pure Math / Basic Calculation
5.3/iv,Simple Math but Requires Economics Concepts
5.4/ii#2,"Model-Based, Medium Difficulty"
5.5/ii#1,"Model-Based, Medium Difficulty"
5.5/ii#2,"Model-Based, Medium Difficulty"
5.8/i,Simple Math but Requires Economics Concepts
5.9/i,Advanced / Hardest Model Problems
5.9/ii,"Model-Based, Medium Difficulty"
5.9/iii#1,Advanced / Hardest Model Problems
6.1/1#1,Advanced / Hardest Model Problems
6.1/1#2,Advanced / Hardest Model Problems
6.1/2,"Model-Based, Medium Difficulty"
6.1/3,Advanced / Hardest Model Problems
6.1/4,Advanced / Hardest Model Problems
6.1/5,Advanced / Hardest Model Problems
6.1/6,Advanced / Hardest Model Problems
6.10/main#2,Advanced / Hardest Model Problems
6.2/main,"Model-Based, Medium Difficulty"
6.3/main,Advanced / Hardest Model Problems
6.4/main#1,Advanced / Hardest Model Problems
6.6/1,Advanced / Hardest Model Problems
6.6/2,Advanced / Hardest Model Problems
6.8/1#2,Advanced / Hardest Model Problems
6.8/3,Advanced / Hardest Model Problems
6.9/1,Advanced / Hardest Model Problems
6.9/3#1,Advanced / Hardest Model Problems
7.2/1,"Model-Based, Medium Difficulty"
7.2/2,"Model-Based, Medium Difficulty"
7.3/main#1,"Model-Based, Medium Difficulty"
7.3/main#2,"Model-Based, Medium Difficulty"
7.3/main#3,"Model-Based, Medium Difficulty"
8.1/main,"Model-Based, Medium Difficulty"
8.10/1,Pure Math / Basic Calculation
8.10/2,"Model-Based, Medium Difficulty"
8.10/3#3,"Model-Based, Medium Difficulty"
8.2/1,Simple Math but Requires Economics Concepts
8.2/2#2,Simple Math but Requires Economics Concepts
8.2/3#1,Advanced / Hardest Model Problems
8.2/3#2,Advanced / Hardest Model Problems
8.3/1,Pure Math / Basic Calculation
8.3/2,Simple Math but Requires Economics Concepts
8.3/3,"Model-Based, Medium Difficulty"
8.4/2#1,Advanced / Hardest Model Problems
8.4/2#2,Advanced / Hardest Model Problems
8.5/main,Advanced / Hardest Model Problems
8.6/1,"Model-Based, Medium Difficulty"
8.7/main,Advanced / Hardest Model Problems
8.8/main,"Model-Based, Medium Difficulty"
9.1/1,"Model-Based, Medium Difficulty"
9.1/2#2,"Model-Based, Medium Difficulty"
9.1/3,"Model-Based, Medium Difficulty"
9.2/1,Advanced / Hardest Model Problems
9.2/2#1,Advanced / Hardest Model Problems
9.2/2#2,Advanced / Hardest Model Problems
9.3/1,Advanced / Hardest Model Problems
9.3/2#1,Advanced / Hardest Model Problems
9.3/2#2,Advanced / Hardest Model Problems
